,Movie Name,Year of Release,Genre,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
899,Eskiya,(1996),"Crime, Drama, Thriller            ",128 min,8.2,-,"66,315",-,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
900,Nefes: Vatan Sagolsun,(2009),"Action, Drama, Thriller            ",128 min,8.0,-,"32,413",-,Story of 40-man Turkish task force who must defend a relay station.
901,Anand,(1971),"Drama, Musical            ",122 min,8.3,-,"32,050",-,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend."
902,English Vinglish,(2012),"Comedy, Drama, Family            ",134 min,7.8,-,"34,387",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
903,Vizontele,(2001),"Comedy, Drama            ",110 min,8.0,-,"34,652",-,Lives of residents in a small Anatolian village change when television is introduced to them
904,Zelig,(1983),Comedy            ,79 min,7.7,-,"40,538",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
905,Udaan,(2010),Drama            ,134 min,8.2,-,"43,305",$0.01M,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father."
906,Vid himlens utkant,(2007),Drama            ,122 min,7.8,85        ,"31,191",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
907,En mycket speciell middag,(1998),Comedy            ,80 min,7.7,73        ,"38,162",$4.07M,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise."
908,OMG: Oh My God!,(2012),"Comedy, Drama, Fantasy            ",125 min,8.1,-,"53,704",$0.92M,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
909,Chak De! India,(2007),"Drama, Family, Sport            ",153 min,8.2,68        ,"76,038",$1.11M,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
910,Cirkus,(1928),"Comedy, Romance            ",72 min,8.1,90        ,"31,181",-,The Tramp finds work and the girl of his dreams at a circus.
911,Lage Raho Munna Bhai,(2006),"Comedy, Drama, Romance            ",144 min,8.0,-,"44,232",$2.22M,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.
912,Vicky Donor,(2012),"Comedy, Romance            ",126 min,7.8,-,"40,719",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
913,Raazi,(2018),"Action, Drama, Thriller            ",138 min,7.8,-,"26,746",-,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
914,Den stora illusionen,(1937),"Drama, War            ",113 min,8.1,-,"34,506",$0.17M,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress."
915,Knockin' on Heaven's Door,(1997),"Action, Crime, Comedy            ",87 min,7.9,-,"28,360",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
916,Sholay,(1975),"Action, Adventure, Comedy            ",204 min,8.2,-,"52,681",-,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit."
917,Mupparnas julsaga,(1992),"Comedy, Drama, Family            ",85 min,7.7,64        ,"51,022",$27.28M,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.
918,"Fart, flickor och faror",(1924),"Action, Comedy, Romance            ",45 min,8.2,-,"44,105",$0.98M,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
